PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	population	color	euro
TCGA-DK-A3WY	0.0048	0.004	0.005	-0.0301	0.0061	0.0338	0.0047	-0.0182	0.0018	0.0174	TCGA	#BEBEBE80	TRUE
TCGA-DK-A3X1	0.0056	0.0036	0.0045	-0.0238	0.004	0.026	0.0045	-0.0094	0.0032	0.015	TCGA	#BEBEBE80	TRUE
TCGA-DK-A3X2	0.006	0.0041	0.0038	-0.0241	0.0058	0.0182	0.0029	-0.0044	0.0035	-0.0125	TCGA	#BEBEBE80	TRUE
TCGA-DK-A6AW	0.0081	0.0051	0.0035	0.0082	-0.002	-0.0058	-0.0019	0.0147	0	0.0075	TCGA	#BEBEBE80	TRUE
TCGA-DK-A6B0	0.0062	0.0047	0.0015	-0.0222	0.0062	0.0196	0.0011	-6e-04	0.0018	-0.0121	TCGA	#BEBEBE80	TRUE
TCGA-DK-A6B1	0.0071	0.0049	0.0026	0.0045	0.0017	7e-04	-0.0019	0.0017	-0.0028	0.0028	TCGA	#BEBEBE80	TRUE
TCGA-DK-A6B5	0.0077	0.0047	0.0037	0.0028	0.0011	-0.002	-7e-04	-0.0129	-0.0019	-0.006	TCGA	#BEBEBE80	TRUE
TCGA-DK-A6B6	0.0047	0.0045	0.0053	-0.0356	0.0033	0.0282	0.0016	-0.0065	0.0013	-0.0115	TCGA	#BEBEBE80	TRUE
TCGA-DK-AA6L	0.008	0.0052	0.0021	0.0075	0.0015	-0.0038	0.0038	-0.0132	0.0023	-0.0056	TCGA	#BEBEBE80	TRUE
TCGA-DK-AA6P	0.0074	0.0043	5e-04	0.0097	-0.0018	-0.0136	0	-0.038	-9e-04	-0.0136	TCGA	#BEBEBE80	TRUE
TCGA-DK-AA6Q	0.0053	0.0041	0.0058	-0.0322	0.0099	0.0369	0.0018	-0.0182	0.0051	0.0142	TCGA	#BEBEBE80	TRUE
TCGA-DK-AA6S	0.007	0.0045	0.0061	-0.0074	0.0034	0.0097	0.0014	0.0045	0.0023	7e-04	TCGA	#BEBEBE80	TRUE
TCGA-DK-AA6T	0.0084	0.0038	0.0013	0.007	-9e-04	-0.0057	0.0017	0.0028	-0.0032	0.0021	TCGA	#BEBEBE80	TRUE
TCGA-DK-AA6U	0.0076	0.005	0.0017	0.0037	-5e-04	-0.004	5e-04	0.0086	0.001	0.0045	TCGA	#BEBEBE80	TRUE
TCGA-DK-AA6W	0.0077	0.0037	6e-04	0.0067	-0.0032	-0.0069	-0.0022	-0.0154	0.0012	-0.0026	TCGA	#BEBEBE80	TRUE
TCGA-DK-AA6X	0.0084	0.0044	0.0018	0.0045	-0.003	-0.0037	0	0.0087	0.0058	0.01	TCGA	#BEBEBE80	TRUE
TCGA-DK-AA71	0.0073	0.0046	0.0016	0.0057	-0.0017	-0.0072	1e-04	-0.0056	0.0035	-0.0042	TCGA	#BEBEBE80	TRUE
TCGA-DK-AA74	0.0079	0.005	5e-04	0.0066	-0.0023	-0.0059	-0.0026	0.0046	-0.0039	0.016	TCGA	#BEBEBE80	TRUE
TCGA-DK-AA76	0.0052	0.0054	0.0032	-0.0229	0.0062	0.0203	0.0033	-0.0029	0.0024	-0.0116	TCGA	#BEBEBE80	TRUE
TCGA-DK-AA77	0.005	0.0048	0.0044	-0.0316	0.006	0.033	0.0035	-0.019	0.0053	0.0168	TCGA	#BEBEBE80	TRUE
TCGA-E5-A2PC	0.0075	0.0053	0.0033	0.0049	-3e-04	-0.0033	-5e-04	0.0064	0.0027	0.0031	TCGA	#BEBEBE80	TRUE
TCGA-E5-A4TZ	0.0085	0.0047	0.001	0.0052	0.0029	-0.005	-0.0033	0.0053	0.0026	-0.001	TCGA	#BEBEBE80	TRUE
TCGA-E5-A4U1	0.006	0.0046	0.003	-0.0201	0.0052	0.022	-6e-04	-2e-04	0.001	-0.0159	TCGA	#BEBEBE80	TRUE
TCGA-E7-A3Y1	0.0079	0.0033	0.0017	0.0076	-0.003	-0.0071	-3e-04	-0.0365	-0.0016	-0.0066	TCGA	#BEBEBE80	TRUE
TCGA-E7-A541	0.007	0.0044	0.0043	-0.0071	0.0019	0.0078	0.0016	-0.0156	0.0035	-0.0084	TCGA	#BEBEBE80	TRUE
TCGA-E7-A7DU	0.0068	0.0043	0.0031	-0.0072	0.0036	0.0077	0.0032	-0.0218	-2e-04	-0.0088	TCGA	#BEBEBE80	TRUE
TCGA-E7-A7DV	0.0077	0.0041	0.0029	4e-04	-8e-04	-8e-04	-6e-04	-0.027	-8e-04	-0.0165	TCGA	#BEBEBE80	TRUE
TCGA-E7-A97Q	0.0084	0.0053	-1e-04	0.01	-3e-04	-0.0086	-8e-04	7e-04	-7e-04	0.0053	TCGA	#BEBEBE80	TRUE
TCGA-FD-A3B3	0.008	0.0043	0.0016	0.0054	-1e-04	-0.0056	0.0034	0.0022	-0.0018	0.0032	TCGA	#BEBEBE80	TRUE
