PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	population	color	euro
TCGA-R6-A6L4	0.0078	0.0051	0.0026	0.006	0.0022	-0.0018	-0.0022	0.0083	-6e-04	0.0096	TCGA	#BEBEBE80	TRUE
TCGA-R6-A6L6	0.0079	0.0048	0.0031	1e-04	0.0048	0.0059	-6e-04	0.0115	0	-0.0036	TCGA	#BEBEBE80	TRUE
TCGA-R6-A6XG	0.0077	0.0043	0.0026	0.0054	0.0013	-0.0011	0.0014	0.0117	0.0021	0.0028	TCGA	#BEBEBE80	TRUE
TCGA-R6-A6XQ	0.0079	0.0043	0.0026	0.0051	-2e-04	-0.0051	0.0015	0.0054	0.0027	0.0085	TCGA	#BEBEBE80	TRUE
TCGA-R6-A6Y0	0.0072	0.0041	-0.004	0.0028	0.0035	-0.0021	7e-04	0.0056	-0.0012	0.0019	TCGA	#BEBEBE80	TRUE
TCGA-R6-A8W5	0.0082	0.0044	0.0022	0.0054	0.0023	-0.0016	0.0013	0.0044	0.0013	0.002	TCGA	#BEBEBE80	TRUE
TCGA-R6-A8W8	0.0076	0.0052	0.0032	0.0051	3e-04	-0.0038	-9e-04	0.0042	0.0022	0.004	TCGA	#BEBEBE80	TRUE
TCGA-R6-A8WC	0.0078	0.0045	0.0012	0.0042	8e-04	-6e-04	0.0039	0.0089	0.0015	0.0057	TCGA	#BEBEBE80	TRUE
TCGA-RE-A7BO	0.0081	0.0051	4e-04	0.0068	-0.0016	-0.0074	-0.0012	0.0109	1e-04	0.0065	TCGA	#BEBEBE80	TRUE
TCGA-S8-A6BV	0.0075	0.0045	0.0038	0.0054	6e-04	-0.0021	5e-04	0.0094	-9e-04	0.0049	TCGA	#BEBEBE80	TRUE
TCGA-V5-A7RE	0.0075	0.0052	0.0012	0.0037	-0.0013	-0.0013	0.0028	0.0035	-0.0063	0.0053	TCGA	#BEBEBE80	TRUE
TCGA-V5-AASW	0.0073	0.0047	0.0018	0.0051	0	-0.003	-0.0028	0.0113	-8e-04	0.0082	TCGA	#BEBEBE80	TRUE
TCGA-V5-AASX	0.0085	0.0041	8e-04	0.0033	0.0037	-0.0023	-0.002	0.0092	9e-04	0.0052	TCGA	#BEBEBE80	TRUE
TCGA-VR-A8EO	0.007	0.0047	0.0045	-0.0108	0.0051	0.0124	7e-04	6e-04	0.0025	-0.0021	TCGA	#BEBEBE80	TRUE
TCGA-VR-A8EP	0.0072	0.0051	0.0029	-0.0101	0.0048	0.0155	0.0018	0.0032	0.0024	-0.0055	TCGA	#BEBEBE80	TRUE
TCGA-VR-A8EQ	0.0037	0.0053	0.0021	-0.0078	0.0047	0.0093	-0.0046	0.003	-0.0084	0.0281	TCGA	#BEBEBE80	TRUE
TCGA-VR-A8EZ	0.0063	0.0038	-1e-04	-0.0081	0.0097	0.0157	0.0014	0.0117	0.0027	-0.0074	TCGA	#BEBEBE80	TRUE
TCGA-VR-A8Q7	0.0072	0.0048	0.005	-0.0106	0.0055	0.0118	-0.0025	0.0014	1e-04	-0.0112	TCGA	#BEBEBE80	TRUE
TCGA-VR-AA4D	0.0072	0.0048	0.0043	-0.0098	0.0047	0.0155	3e-04	0.0027	2e-04	-0.0056	TCGA	#BEBEBE80	TRUE
TCGA-VR-AA4G	0.0043	0.0042	-0.0018	-0.0043	0.0083	0.0116	-3e-04	0.0091	-3e-04	-0.0023	TCGA	#BEBEBE80	TRUE
TCGA-VR-AA7I	0.0069	0.0051	0.0049	-0.0127	0.0062	0.0126	-7e-04	0.0055	9e-04	-0.0033	TCGA	#BEBEBE80	TRUE
TCGA-X8-AAAR	0.0059	0.0051	0.0039	-0.017	0.0072	0.0198	-0.0014	-0.003	9e-04	0.0091	TCGA	#BEBEBE80	TRUE
TCGA-Z6-A8JD	0.0077	0.0025	-0.0012	0.0117	-0.0028	-0.0113	-1e-04	-0.0382	-0.0059	-0.0014	TCGA	#BEBEBE80	TRUE
TCGA-Z6-AAPN	0.0078	0.0036	0.0011	0.0061	-0.0022	-0.0068	-1e-04	-0.0425	-0.001	-0.0077	TCGA	#BEBEBE80	TRUE
TCGA-ZR-A9CJ	0.0077	0.0038	5e-04	0.0077	0.001	-0.0027	-7e-04	0.0113	-4e-04	0.008	TCGA	#BEBEBE80	TRUE
TCGA-BA-4074	0.0077	0.005	0.0036	0.006	0.001	-0.0043	0.0017	0.0108	0.0042	0.0073	TCGA	#BEBEBE80	TRUE
TCGA-BA-4076	0.0078	0.0049	0.0011	0.0083	0.0042	-0.0032	5e-04	0.0152	-0.0042	0.0035	TCGA	#BEBEBE80	TRUE
TCGA-BA-4078	0.0078	0.0049	0.0016	0.0063	0.0013	-0.0019	-0.0025	0.0152	4e-04	0.0055	TCGA	#BEBEBE80	TRUE
TCGA-BA-5149	0.0083	0.0047	0.0027	0.0055	-7e-04	-0.0048	0.0017	0.0097	0.0023	0.0089	TCGA	#BEBEBE80	TRUE
TCGA-BA-5152	0.0079	0.0049	0.0031	0.0053	1e-04	-0.0035	1e-04	0.0075	3e-04	0.0061	TCGA	#BEBEBE80	TRUE
TCGA-BA-5153	0.0073	0.0048	0.0021	0.0052	1e-04	-0.0036	0.001	0.011	0	0.0055	TCGA	#BEBEBE80	TRUE
TCGA-BA-5556	0.0075	0.0056	0.0025	0.0078	3e-04	-0.0054	8e-04	0.0069	-0.0019	0.0061	TCGA	#BEBEBE80	TRUE
TCGA-BA-5558	0.0078	0.0057	0.0028	0.0049	-0.0012	-0.0015	-0.0011	0.0086	-2e-04	0.0069	TCGA	#BEBEBE80	TRUE
TCGA-BA-5559	0.0052	0.0041	0.0054	-0.0262	0.0044	0.0226	-6e-04	1e-04	-0.0022	-0.0154	TCGA	#BEBEBE80	TRUE
TCGA-BA-6869	0.008	0.0046	0.0021	0.0059	5e-04	-0.0057	-5e-04	0.0094	0.0047	0.007	TCGA	#BEBEBE80	TRUE
TCGA-BA-6871	0.0079	0.0041	0.0023	0.0029	0.0015	7e-04	0.003	0.0089	0.004	0.0054	TCGA	#BEBEBE80	TRUE
TCGA-BA-7269	0.0075	0.0042	5e-04	0.0084	-2e-04	-0.0029	-0.0013	0.0107	-0.0046	0.0063	TCGA	#BEBEBE80	TRUE
TCGA-BA-A4IF	0.008	0.0035	1e-04	0.0054	-8e-04	-0.0037	0.0016	-0.0145	0	5e-04	TCGA	#BEBEBE80	TRUE
TCGA-BA-A4IG	0.0079	0.0056	0.0023	0.0056	-0.0013	-0.0031	0.0015	0.0087	-2e-04	0.0059	TCGA	#BEBEBE80	TRUE
TCGA-BA-A4IH	0.0066	0.0054	0.0013	0.0076	-0.0021	-0.0041	-5e-04	0.0077	0.0011	0.0059	TCGA	#BEBEBE80	TRUE
TCGA-BA-A4II	0.0071	0.0053	0.005	0.0062	0.0041	-6e-04	-0.0032	0.0046	-0.0018	0.0074	TCGA	#BEBEBE80	TRUE
TCGA-BA-A6DA	0.0071	0.0053	0.0024	0.0037	0.0029	0.001	0.0032	0.0093	-0.0022	0.0011	TCGA	#BEBEBE80	TRUE
TCGA-BA-A6DE	0.0077	0.0049	0.005	0	0.0031	-4e-04	7e-04	0.0079	-0.0011	0.0029	TCGA	#BEBEBE80	TRUE
TCGA-BA-A6DG	0.0072	0.0044	0.0029	0.0046	0.0037	-0.0028	1e-04	0.011	5e-04	0.0038	TCGA	#BEBEBE80	TRUE
TCGA-BA-A6DL	0.0079	0.0042	0.002	0.0075	-4e-04	-0.0025	-7e-04	0.0097	0.0035	0.0091	TCGA	#BEBEBE80	TRUE
TCGA-BB-4223	0.0077	0.0043	0.0023	0.0075	-0.0015	-0.0042	-0.0012	0.0139	-9e-04	0.0062	TCGA	#BEBEBE80	TRUE
TCGA-BB-4224	0.0075	0.0051	6e-04	0.002	-7e-04	-0.0039	0.0015	0.0045	-0.0026	0.0027	TCGA	#BEBEBE80	TRUE
TCGA-BB-4227	0.0067	0.0045	0.0029	0.0011	0.003	6e-04	0.0011	0.0071	-0.0074	0.001	TCGA	#BEBEBE80	TRUE
TCGA-BB-4228	0.008	0.0045	0.0028	0.007	-0.0011	-0.0056	0.001	0.0029	3e-04	-0.0038	TCGA	#BEBEBE80	TRUE
TCGA-BB-7861	0.0081	0.0051	0.0031	0.0067	-2e-04	-0.0017	-9e-04	0.0034	0.0034	0.0031	TCGA	#BEBEBE80	TRUE
TCGA-BB-7862	0.0079	0.0046	0.0025	0.0072	0.0022	-0.0038	-0.0029	0.0078	0.0018	0.0081	TCGA	#BEBEBE80	TRUE
TCGA-BB-7863	0.0068	0.0034	-0.0036	-0.0102	0.0052	0.0132	0.0013	0.0089	2e-04	-0.0024	TCGA	#BEBEBE80	TRUE
TCGA-BB-7864	0.0076	0.0047	8e-04	0.0059	0.0018	-0.003	-0.001	0.0112	0.003	0.0036	TCGA	#BEBEBE80	TRUE
TCGA-BB-7866	0.0076	0.0051	6e-04	0.0063	-7e-04	-0.0048	0.0024	0.0065	2e-04	0.0076	TCGA	#BEBEBE80	TRUE
TCGA-BB-7871	0.0084	0.005	0.0024	0.0036	0.0035	3e-04	5e-04	0.0075	0.0011	0.006	TCGA	#BEBEBE80	TRUE
TCGA-BB-8596	0.0078	0.0049	0.0017	0.0122	4e-04	-0.0091	-0.0027	0.003	-0.0014	0.0066	TCGA	#BEBEBE80	TRUE
TCGA-BB-A5HU	0.0078	0.0052	0.0011	0.0055	0.0025	-0.0023	0.0015	0.0067	5e-04	0.0036	TCGA	#BEBEBE80	TRUE
TCGA-BB-A5HY	0.0073	0.0051	0.0013	0.0041	0.0019	-3e-04	8e-04	0.0066	-5e-04	-0.0027	TCGA	#BEBEBE80	TRUE
TCGA-BB-A5HZ	0.007	0.0053	0.0016	0.0027	0.0032	-1e-04	0.0055	0.0021	0.0037	0.0022	TCGA	#BEBEBE80	TRUE
TCGA-CN-4723	0.0074	0.0056	0.0032	-0.002	0.004	0.0064	-2e-04	0.0075	3e-04	-0.0039	TCGA	#BEBEBE80	TRUE
TCGA-CN-4725	0.0074	0.0042	0.0041	0.0076	-0.0033	-0.0054	-0.0032	-0.0305	-0.0012	-0.0057	TCGA	#BEBEBE80	TRUE
TCGA-CN-4726	0.0076	0.0034	0.0019	0.004	0.0013	-0.0048	-4e-04	-0.02	-0.0021	-0.0079	TCGA	#BEBEBE80	TRUE
TCGA-CN-4727	0.0076	0.0045	0.0024	0.0068	0.0015	-0.003	-0.0013	0.0099	0.0027	0.0052	TCGA	#BEBEBE80	TRUE
TCGA-CN-4728	0.0076	0.0047	0.0029	0.0054	0.001	-7e-04	-7e-04	0.0069	-0.002	0.0037	TCGA	#BEBEBE80	TRUE
TCGA-CN-4729	0.0071	0.0051	0.0046	0.0031	0.0034	0.0024	0.0017	0.0102	0.0025	0.0013	TCGA	#BEBEBE80	TRUE
TCGA-CN-4730	0.0079	0.0048	0.0022	-5e-04	4e-04	-0.0051	-0.0012	0.0061	-5e-04	0.0021	TCGA	#BEBEBE80	TRUE
TCGA-CN-4731	0.0066	0.0045	0.0025	-0.0044	-0.001	0.0018	-0.0027	-0.0112	-0.0024	0.0054	TCGA	#BEBEBE80	TRUE
TCGA-CN-4733	0.0074	0.0041	0.0042	-0.0031	5e-04	0.0049	-2e-04	2e-04	0.0052	-0.0058	TCGA	#BEBEBE80	TRUE
TCGA-CN-4736	0.008	0.0053	0.0027	0.0062	0.0011	-8e-04	-1e-04	0.0102	0.0013	0.0041	TCGA	#BEBEBE80	TRUE
TCGA-CN-4737	0.0078	0.0047	0.0024	0.0015	5e-04	3e-04	0.0019	0.0048	0.0037	0.0042	TCGA	#BEBEBE80	TRUE
TCGA-CN-4738	0.0075	0.0049	1e-04	0.0062	0.0015	-0.0035	0	0.0118	-0.0044	0.0105	TCGA	#BEBEBE80	TRUE
TCGA-CN-4739	0.0075	0.0047	6e-04	0.0024	-9e-04	2e-04	-4e-04	0.0052	-9e-04	0.0028	TCGA	#BEBEBE80	TRUE
TCGA-CN-4740	0.0071	0.005	0.0011	0.0064	-4e-04	-0.0034	7e-04	0.0105	-0.0063	0.0036	TCGA	#BEBEBE80	TRUE
TCGA-CN-4741	0.0069	0.005	0.0024	0.0062	-3e-04	-0.0036	0.0018	0.0054	3e-04	-5e-04	TCGA	#BEBEBE80	TRUE
TCGA-CN-4742	0.008	0.0053	0.0021	0.005	-2e-04	-0.0056	0.0023	0.0142	0.0034	0.0085	TCGA	#BEBEBE80	TRUE
TCGA-CN-5356	0.0073	0.0046	7e-04	0.0055	-0.0017	-0.0037	-2e-04	0.0099	-3e-04	0.0067	TCGA	#BEBEBE80	TRUE
TCGA-CN-5359	0.0071	0.005	0.0033	-0.0034	6e-04	0.0025	0.0016	0.0063	0.0026	-0.0019	TCGA	#BEBEBE80	TRUE
TCGA-CN-5360	0.0072	0.005	0.0024	0.0029	-2e-04	2e-04	-0.0017	0.0022	0.0014	-0.0013	TCGA	#BEBEBE80	TRUE
TCGA-CN-5366	0.0067	0.0047	0.0018	-0.0034	0.004	0.0026	0.0011	0.0041	-2e-04	0.0029	TCGA	#BEBEBE80	TRUE
TCGA-CN-5367	0.0077	0.0051	0.0011	0.0055	0.0016	-0.0018	0.0021	0.0076	9e-04	0.009	TCGA	#BEBEBE80	TRUE
TCGA-CN-5369	0.0076	0.0048	8e-04	0.009	0.0013	-0.005	-1e-04	0.0092	-7e-04	0.0049	TCGA	#BEBEBE80	TRUE
TCGA-CN-5370	0.0079	0.0049	0.0045	0.0038	6e-04	-0.0052	7e-04	-0.0031	-0.0018	0.0124	TCGA	#BEBEBE80	TRUE
TCGA-CN-5373	0.0061	0.0046	0.0052	-0.0073	0.0024	0.0089	-2e-04	-0.0173	0.0019	-0.0055	TCGA	#BEBEBE80	TRUE
TCGA-CN-5374	0.0072	0.0043	0.0025	0.0017	0.0015	0.0023	-0.0021	0.0059	-0.0013	8e-04	TCGA	#BEBEBE80	TRUE
TCGA-CN-6010	0.0076	0.0051	0.0025	0.0042	0.0024	-0.0025	-0.0012	-0.007	0.0012	-0.0036	TCGA	#BEBEBE80	TRUE
TCGA-CN-6011	0.0081	0.0047	0.0019	0.0037	0.0012	-0.001	0.0012	0.0064	-4e-04	0.0011	TCGA	#BEBEBE80	TRUE
TCGA-CN-6012	0.0078	0.0052	0.0031	0.0018	0.0017	0.0014	3e-04	0.0099	0	0.008	TCGA	#BEBEBE80	TRUE
TCGA-CN-6013	0.0081	0.0049	0.0033	0.0052	0.0014	4e-04	-0.0011	0.0082	-0.0023	0.0032	TCGA	#BEBEBE80	TRUE
TCGA-CN-6016	0.0073	0.0044	0.0012	0.0083	-0.0013	-0.0092	-0.0024	-0.0326	0.0021	-0.0133	TCGA	#BEBEBE80	TRUE
TCGA-CN-6017	0.0069	0.0045	0.0031	-0.0098	4e-04	0.0116	-3e-04	-0.0153	0.0034	-0.0097	TCGA	#BEBEBE80	TRUE
TCGA-CN-6018	0.0077	0.0047	0.0031	0.0086	-0.0016	-0.0082	0.0018	-0.029	1e-04	-0.0075	TCGA	#BEBEBE80	TRUE
TCGA-CN-6021	0.008	0.0045	0.002	0.0014	0.0018	0.0034	0.001	0.0074	-0.0046	-0.0021	TCGA	#BEBEBE80	TRUE
TCGA-CN-6022	0.0069	0.0045	0.0025	-0.0085	0.0011	0.0073	-0.001	-7e-04	-0.0033	-0.0058	TCGA	#BEBEBE80	TRUE
TCGA-CN-6023	0.0073	0.005	0.0023	0.0011	1e-04	3e-04	1e-04	0.0101	0.0034	-5e-04	TCGA	#BEBEBE80	TRUE
TCGA-CN-6024	0.0078	0.0042	0.0011	0.0046	0.0012	-0.0036	2e-04	0.0056	0.0028	0.0049	TCGA	#BEBEBE80	TRUE
TCGA-CN-6988	0.0069	0.0047	0.0013	0.0036	5e-04	-0.0031	-5e-04	0.0062	-0.0028	0.0035	TCGA	#BEBEBE80	TRUE
TCGA-CN-6989	0.0068	0.0047	2e-04	0.0052	8e-04	-0.0042	6e-04	0.0119	-1e-04	0.0109	TCGA	#BEBEBE80	TRUE
TCGA-CN-6992	0.0072	0.0046	0.0013	-0.0026	0.0057	0.0074	0.001	-0.0107	-9e-04	-0.002	TCGA	#BEBEBE80	TRUE
TCGA-CN-6994	0.0078	0.0047	0.0035	0.0011	0.001	-0.0049	0.002	0.0018	0.0017	0.006	TCGA	#BEBEBE80	TRUE
TCGA-CN-6995	0.008	0.004	0.0024	0.0038	8e-04	-0.003	-0.001	0.0109	-0.0014	0.0067	TCGA	#BEBEBE80	TRUE
TCGA-CN-6996	0.0076	0.0042	0.0014	0.0068	0.001	-0.0055	-0.001	0.0027	0.0041	-0.0031	TCGA	#BEBEBE80	TRUE
TCGA-CN-6997	0.0081	0.0051	0.0022	0.0068	0.0024	-0.0043	-0.0046	0.0086	-0.0045	0.0059	TCGA	#BEBEBE80	TRUE
TCGA-CN-6998	0.0073	0.004	0.0029	-0.0011	-0.001	-0.0019	-0.001	3e-04	6e-04	-0.004	TCGA	#BEBEBE80	TRUE
TCGA-CN-A497	0.0073	0.0053	0.0026	0.0011	7e-04	4e-04	0.0029	0.0071	4e-04	0.0026	TCGA	#BEBEBE80	TRUE
TCGA-CN-A498	0.0072	0.004	0.0015	0.0059	-0.0022	-0.0031	-1e-04	-0.0365	-0.0023	-0.0126	TCGA	#BEBEBE80	TRUE
TCGA-CN-A499	0.0075	0.0045	0.0013	0.0065	-2e-04	-0.0064	0.0044	0.0031	-0.0038	0.0037	TCGA	#BEBEBE80	TRUE
TCGA-CN-A49A	0.0077	0.0045	0.0017	0.0033	0.002	0.0014	-0.0025	0.0078	-0.0024	0.0041	TCGA	#BEBEBE80	TRUE
TCGA-CN-A49B	0.0076	0.0055	0.0022	0.0052	0.0014	-4e-04	0.0041	0.0099	-5e-04	-3e-04	TCGA	#BEBEBE80	TRUE
TCGA-CN-A49C	0.0083	0.0042	0.0042	0.0056	1e-04	-0.0025	-2e-04	0.0063	0.0035	0.0028	TCGA	#BEBEBE80	TRUE
TCGA-CN-A63T	0.0079	0.005	0.0017	0.0089	0.0019	-0.0055	-0.0018	0.0067	3e-04	0.0081	TCGA	#BEBEBE80	TRUE
TCGA-CN-A63U	0.0074	0.0046	7e-04	0.0098	-0.0033	-0.0092	-0.0032	-0.0107	-0.0029	-0.0012	TCGA	#BEBEBE80	TRUE
TCGA-CN-A63V	0.0073	0.0042	0.0023	0.0021	5e-04	-0.0013	0.0018	0.0064	0.0023	0.0037	TCGA	#BEBEBE80	TRUE
TCGA-CN-A63W	0.0075	0.0044	0.0017	0.0074	-3e-04	-0.0082	-0.001	0.0013	-0.0016	0.0047	TCGA	#BEBEBE80	TRUE
TCGA-CN-A641	0.0081	0.0052	0.0029	0.0045	9e-04	-0.0045	0.001	0.0073	-6e-04	0.0046	TCGA	#BEBEBE80	TRUE
TCGA-CN-A642	0.0085	0.004	0.0024	0.0041	-0.0019	-0.0039	-0.0028	0.0074	9e-04	0.0083	TCGA	#BEBEBE80	TRUE
TCGA-CN-A6UY	0.0069	0.0047	4e-04	0.0042	0.0013	3e-04	1e-04	-0.0016	0.0052	0.0025	TCGA	#BEBEBE80	TRUE
TCGA-CN-A6V1	0.0068	0.0045	9e-04	-0.004	-2e-04	0.0044	-2e-04	-0.0135	-0.0031	-0.0082	TCGA	#BEBEBE80	TRUE
TCGA-CQ-5323	0.0067	0.0049	0.0026	-0.0071	0.0031	0.013	0	9e-04	0.002	-0.0085	TCGA	#BEBEBE80	TRUE
TCGA-CQ-5324	0.0062	0.0054	0.0038	-0.021	0.0057	0.0176	-0.0023	-0.0018	-8e-04	-0.0151	TCGA	#BEBEBE80	TRUE
TCGA-CQ-5325	0.0081	0.0044	0.0015	0.0085	0.0015	-0.003	-4e-04	0.0109	0.0016	0.0055	TCGA	#BEBEBE80	TRUE
TCGA-CQ-5329	0.0054	0.0059	0.0015	-0.0066	0.0043	0.0078	1e-04	0.0054	-8e-04	-0.005	TCGA	#BEBEBE80	TRUE
TCGA-CQ-5330	0.0082	0.0043	0.0015	0.0059	0.0013	-0.0083	-0.004	0.006	0.0012	0.0029	TCGA	#BEBEBE80	TRUE
TCGA-CQ-5331	0.0075	0.0048	0.0019	0.0047	0.0014	-0.0045	-5e-04	0.0105	0.0016	0.0067	TCGA	#BEBEBE80	TRUE
TCGA-CQ-5332	0.0073	0.0046	0.0028	0.0013	0.0016	0.0016	1e-04	0.0052	0.004	-0.003	TCGA	#BEBEBE80	TRUE
TCGA-CQ-5333	0.0053	0.004	0.0038	-0.0318	0.0085	0.0367	0.0013	-0.015	0.0064	0.0208	TCGA	#BEBEBE80	TRUE
TCGA-CQ-6218	0.0072	0.004	0.0018	0.0087	-0.0039	-0.0104	-0.0023	-0.0427	-0.0049	-0.0118	TCGA	#BEBEBE80	TRUE
TCGA-CQ-6220	0.0075	0.0045	0.0023	0.0066	-5e-04	-0.0038	0.0012	0.0112	-0.0019	0.0036	TCGA	#BEBEBE80	TRUE
TCGA-CQ-6223	0.0062	0.0053	0.0028	-0.0222	0.0026	0.0212	0.0027	0.0043	4e-04	-0.0117	TCGA	#BEBEBE80	TRUE
TCGA-CQ-6224	0.0079	0.0051	0.0026	0.0062	-3e-04	-0.002	0.0011	0.0105	-0.0017	0.0032	TCGA	#BEBEBE80	TRUE
TCGA-CQ-6227	0.0072	0.0046	0.0014	0.0059	0	-0.002	-1e-04	0.0091	6e-04	0.0016	TCGA	#BEBEBE80	TRUE
TCGA-CQ-6228	0.0078	0.0044	0.0013	0.0091	-0.0037	-0.0109	-0.0029	-0.0243	0.0032	-0.0066	TCGA	#BEBEBE80	TRUE
TCGA-CQ-6229	0.0078	0.0045	-4e-04	0.0067	-0.0023	-0.0064	-0.0023	0.008	0.0022	0.0129	TCGA	#BEBEBE80	TRUE
TCGA-CQ-7063	0.0063	0.005	0.0035	-0.0237	0.0052	0.0202	0.0018	0.0029	0.0024	-0.0143	TCGA	#BEBEBE80	TRUE
TCGA-CQ-7067	0.0067	0.0048	0.0014	-0.0085	0.0043	0.0104	-9e-04	0.0039	-3e-04	0.0029	TCGA	#BEBEBE80	TRUE
TCGA-CQ-7068	0.0059	0.005	0.0035	-0.0208	0.0063	0.0203	0.0041	0.0069	0.004	-0.0121	TCGA	#BEBEBE80	TRUE
TCGA-CQ-7069	0.0079	0.0052	0.0018	0.0104	-6e-04	-0.004	1e-04	0.0151	0.001	0.0078	TCGA	#BEBEBE80	TRUE
TCGA-CQ-7071	0.008	0.0054	0.0037	0.005	-2e-04	-0.0065	6e-04	0.0122	-0.0016	0.0064	TCGA	#BEBEBE80	TRUE
TCGA-CQ-7072	0.0071	0.0044	0.0017	-2e-04	0.0035	0.0028	-0.0018	0.0061	0.0022	-1e-04	TCGA	#BEBEBE80	TRUE
TCGA-CQ-A4C9	0.0073	0.0047	5e-04	0.0037	0.0026	-0.0012	1e-04	0.007	-0.0041	0.0044	TCGA	#BEBEBE80	TRUE
TCGA-CQ-A4CA	0.0072	0.005	0.0011	0.0043	3e-04	-0.0029	-0.0024	0.0114	-0.0035	0.0063	TCGA	#BEBEBE80	TRUE
TCGA-CQ-A4CB	0.0071	0.0051	0.0015	0.0054	-3e-04	-0.0052	0	0.0107	-0.002	0.0069	TCGA	#BEBEBE80	TRUE
TCGA-CQ-A4CD	0.008	0.005	0.003	0.0076	-0.0018	-0.0022	-0.001	0.009	0.0018	0.005	TCGA	#BEBEBE80	TRUE
TCGA-CQ-A4CE	0.0073	0.005	0.0028	0.009	4e-04	-0.0064	-0.0023	0.0056	7e-04	0.0088	TCGA	#BEBEBE80	TRUE
TCGA-CQ-A4CG	0.0082	0.0045	0.0029	0.0079	0.0021	-0.003	0.0048	0.0133	0	0.0055	TCGA	#BEBEBE80	TRUE
TCGA-CQ-A4CI	0.008	0.0052	0.0033	0.0072	-0.001	-0.0038	-6e-04	0.0064	-0.0013	0.0081	TCGA	#BEBEBE80	TRUE
TCGA-CR-5243	0.0081	0.0049	0.002	0.0055	0.001	-0.0017	0.001	0.0146	0.0032	0.0056	TCGA	#BEBEBE80	TRUE
TCGA-CR-5248	0.0073	0.005	0.0026	0.0034	9e-04	-7e-04	-0.0014	0.0055	0.0015	0.0068	TCGA	#BEBEBE80	TRUE
TCGA-CR-5249	0.0077	0.0046	0.0037	0.0027	3e-04	-7e-04	-0.0027	0.0119	-9e-04	0.0056	TCGA	#BEBEBE80	TRUE
TCGA-CR-5250	0.006	0.0051	-9e-04	0.0039	-0.0011	-0.0049	-0.0013	0.0072	-0.0019	0.0127	TCGA	#BEBEBE80	TRUE
TCGA-CR-6470	0.0077	0.0046	0.0026	0.0043	0.0014	-0.0064	0	0.0111	-0.004	0.0157	TCGA	#BEBEBE80	TRUE
TCGA-CR-6471	0.0081	0.0051	0.0029	0.0062	-2e-04	-0.0036	3e-04	0.0088	-0.0014	0.0057	TCGA	#BEBEBE80	TRUE
TCGA-CR-6473	0.0079	0.0052	0.0027	0.0024	0.0028	-0.0033	-5e-04	0.0101	-0.0036	-0.0016	TCGA	#BEBEBE80	TRUE
TCGA-CR-6474	0.0074	0.0051	0.0052	0.0069	0.0019	-0.002	0.0022	0.0088	0.0055	0.005	TCGA	#BEBEBE80	TRUE
TCGA-CR-6477	0.0077	0.0049	0.0019	0.003	0.0029	-0.0025	-0.001	0.0115	0.0013	0.0123	TCGA	#BEBEBE80	TRUE
TCGA-CR-6478	0.0076	0.0052	0.0016	0.002	7e-04	-0.0039	-3e-04	0.0079	-1e-04	0.0038	TCGA	#BEBEBE80	TRUE
TCGA-CR-6480	0.0081	0.0056	0.0035	0.0072	6e-04	-0.0054	1e-04	0.0099	-0.0041	0.0044	TCGA	#BEBEBE80	TRUE
TCGA-CR-6481	0.0081	0.0044	0.0012	0.0075	5e-04	-0.0044	7e-04	0.0101	4e-04	-2e-04	TCGA	#BEBEBE80	TRUE
TCGA-CR-6487	0.0078	0.0048	4e-04	0.0041	0.0026	-0.0023	4e-04	0.0122	0.003	0.0105	TCGA	#BEBEBE80	TRUE
TCGA-CR-6488	0.0058	0.0048	0.0064	-0.0263	0.0031	0.0225	0.0016	-0.0023	0.0013	-0.0118	TCGA	#BEBEBE80	TRUE
TCGA-CR-6492	0.0078	0.0048	0.0029	0.0068	0.0014	-0.0052	2e-04	0.0098	0.0013	8e-04	TCGA	#BEBEBE80	TRUE
TCGA-CR-7364	0.0075	0.0048	0	0.0058	0.0013	-0.0049	0.0021	0.0102	0.0021	0.0077	TCGA	#BEBEBE80	TRUE
TCGA-CR-7365	0.0076	0.0047	0.0026	0.0054	0.0019	-0.0017	-5e-04	0.008	0.0023	0.0082	TCGA	#BEBEBE80	TRUE
TCGA-CR-7367	0.0075	0.005	0.0012	0.0035	0.0015	-0.0017	-6e-04	0.0093	0.0048	0.0088	TCGA	#BEBEBE80	TRUE
TCGA-CR-7368	0.008	0.0052	0.0023	0.004	0.0035	-0.0019	0.0014	-0.0031	0.003	-0.0056	TCGA	#BEBEBE80	TRUE
TCGA-CR-7369	0.008	0.0051	0.0018	0.0033	9e-04	-0.0022	-2e-04	0.0092	0.0026	0.0106	TCGA	#BEBEBE80	TRUE
TCGA-CR-7370	0.0075	0.0048	0.0013	0.0068	0.0016	-0.0042	3e-04	0.0097	2e-04	0.0031	TCGA	#BEBEBE80	TRUE
TCGA-CR-7371	0.0073	0.0049	0.0024	0.0055	5e-04	-0.0042	-0.0044	0.0038	0.0031	0.0071	TCGA	#BEBEBE80	TRUE
TCGA-CR-7372	0.0077	0.004	0.0028	0.0055	-2e-04	-0.0077	-0.0031	0.0114	-0.0014	0.0088	TCGA	#BEBEBE80	TRUE
TCGA-CR-7373	0.0076	0.0052	0.0014	0.0045	8e-04	0.0013	2e-04	0.0148	0.0016	0.0032	TCGA	#BEBEBE80	TRUE
